customer_id;checking;savings;money_market;cd;credit_card;personal_loan;auto_loan;mortgage;heloc;student_loan;investment_account;life_insurance
C100000;1;1;0;1;1;0;0;0;0;0;0;0
C100001;1;1;0;1;0;0;1;0;0;0;0;0
C100002;1;1;0;0;0;0;0;0;0;0;0;0
C100003;1;0;0;0;0;1;0;0;0;0;0;0
C100004;1;1;1;0;0;0;0;0;0;0;1;0
C100005;1;1;1;0;1;0;0;0;0;1;0;0
C100006;1;0;0;0;0;0;0;0;0;0;0;0
C100007;1;1;0;0;0;0;0;0;0;0;0;1
C100008;1;1;0;0;1;0;0;0;0;0;0;0
C100009;1;0;0;0;0;0;0;0;0;0;0;1
C100010;1;1;0;1;1;0;0;1;1;0;1;0
C100011;1;1;1;0;0;1;0;0;0;0;0;0
C100012;1;1;0;1;0;1;0;0;0;1;0;0
C100013;1;1;0;0;1;0;0;0;0;0;0;0
C100014;1;1;0;0;1;0;1;1;0;0;0;1
C100015;1;1;0;1;1;0;0;0;0;0;0;0
C100016;1;1;1;0;0;0;1;1;0;0;1;0
C100017;1;1;1;0;0;0;0;0;0;0;0;0
C100018;1;1;0;0;1;0;0;0;0;0;0;1
C100019;1;1;0;0;0;0;0;0;0;0;0;0
C100020;1;1;0;0;0;0;0;0;0;0;0;0
C100021;1;1;0;1;1;1;1;0;0;0;0;1
C100022;1;1;0;0;1;0;0;0;0;0;0;0
C100023;1;1;0;0;0;0;0;1;1;0;0;1
C100024;1;1;0;0;0;0;0;0;0;0;0;0
C100025;1;1;0;0;1;0;1;1;1;0;0;1
C100026;1;0;0;0;1;1;0;0;0;0;0;0
C100027;1;1;0;0;1;0;0;1;0;1;0;0
C100028;1;1;1;1;0;0;0;0;0;0;0;0
C100029;1;1;0;0;1;0;0;1;0;0;0;0
C100030;1;0;0;1;1;0;0;0;0;0;0;0
C100031;1;1;0;0;0;0;0;0;1;0;0;0
C100032;1;0;0;0;0;0;0;0;0;0;1;0
C100033;1;0;0;0;1;0;0;0;1;0;0;0
C100034;1;0;0;0;0;0;0;0;0;0;1;0
C100035;1;1;0;0;0;0;0;0;0;0;0;1
C100036;1;1;0;1;1;0;0;0;0;0;0;1
C100037;1;0;0;0;1;1;0;0;0;0;1;0
C100038;1;0;0;0;0;1;1;1;1;0;1;0
C100039;1;0;0;0;1;0;0;0;0;1;0;0
C100040;1;1;0;1;0;0;1;0;0;0;0;0
C100041;0;1;0;0;0;0;0;0;0;0;1;0
C100042;1;1;1;0;1;0;1;0;0;0;0;0
C100043;1;0;0;0;1;1;0;1;0;0;0;0
C100044;1;1;0;0;0;1;1;0;0;0;0;0
C100045;1;1;0;1;0;0;0;0;0;0;0;1
C100046;1;0;0;0;0;0;0;0;0;0;0;1
C100047;1;1;0;0;0;0;0;0;0;1;0;1
C100048;1;0;0;0;1;1;0;0;0;0;0;0
C100049;1;1;0;0;0;0;0;0;0;0;1;0
C100050;1;1;0;1;1;0;0;0;0;0;0;1
C100051;1;1;0;0;0;0;0;1;1;0;0;0
C100052;1;0;0;0;1;0;0;0;1;0;0;1
C100053;1;1;0;0;1;0;0;0;0;0;0;1
C100054;1;1;0;0;0;0;0;0;0;1;0;0
C100055;1;0;0;0;0;0;0;0;0;0;0;0
C100056;1;1;0;0;1;1;1;0;0;0;0;0
C100057;1;1;0;1;1;0;0;0;0;0;0;0
C100058;1;1;0;0;0;0;0;0;0;0;0;0
C100059;1;1;0;0;0;0;0;0;0;1;0;0
C100060;1;1;0;0;1;0;0;0;0;0;1;0
C100061;1;1;0;0;1;0;0;0;0;0;0;0
C100062;1;1;0;0;1;0;0;0;0;1;0;0
C100063;1;1;0;0;0;0;0;0;0;0;0;1
C100064;1;1;0;0;0;0;0;0;0;0;0;0
C100065;1;1;0;0;0;1;0;0;0;0;0;0
C100066;1;1;0;0;0;0;0;0;0;0;0;1
C100067;1;1;0;1;1;1;0;0;0;0;0;0
C100068;1;1;0;0;0;1;1;0;0;0;0;0
C100069;1;1;0;1;0;0;0;0;0;0;0;1
C100070;1;1;0;0;1;0;0;1;0;0;0;1
C100071;1;0;0;0;1;0;0;0;0;0;0;0
C100072;1;1;1;0;0;0;0;0;0;0;0;0
C100073;1;0;0;0;0;0;0;0;1;0;0;0
C100074;1;0;0;0;1;0;0;0;0;0;0;0
C100075;1;1;0;1;0;0;0;0;0;0;0;0
C100076;1;1;1;0;0;0;0;0;0;1;1;0
C100077;1;1;0;0;1;0;0;0;0;0;0;0
C100078;1;0;0;0;1;1;1;0;0;0;0;1
C100079;1;1;1;0;1;0;1;1;1;1;0;0
C100080;1;1;0;0;0;0;0;0;0;0;0;0
C100081;1;1;0;0;1;0;0;0;0;0;1;1
C100082;1;0;0;0;1;0;1;0;1;0;1;0
C100083;1;0;0;0;0;0;1;1;0;0;1;1
C100084;1;1;0;0;0;1;1;0;0;0;0;1
C100085;1;1;0;0;1;0;0;0;0;0;0;0
C100086;1;1;0;0;1;1;1;0;0;0;0;0
