age;education;duration;campaign;pdays;previous;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y;was_contacted_before;education_rank;job_blue-collar;job_entrepreneur;job_housemaid;job_management;job_retired;job_self-employed;job_services;job_student;job_technician;job_unemployed;marital_married;marital_single;default_unknown;default_yes;housing_yes;loan_yes;contact_telephone;day_of_week_mon;day_of_week_thu;day_of_week_tue;day_of_week_wed;poutcome_nonexistent;poutcome_success;age_band_26-35;age_band_36-45;age_band_46-55;age_band_56-65;age_band_66+;month_sin;month_cos;campaign_intensity;emp.var.rate_denoised;cons.price.idx_denoised;cons.conf.idx_denoised;euribor3m_denoised;nr.employed_denoised
56;basic.4y;261;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;True;True;False;False;False;True;False;False;False;False;True;False;0.49999999999999994;-0.8660254037844387;1.0;1.1137134780612494;94.00055583726021;-36.35599703522971;4.758859354377234;5193.8335601942035
57;high.school;149;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;4;False;False;False;False;False;False;True;False;False;False;True;False;True;False;False;False;True;True;False;False;False;True;False;False;False;False;True;False;0.49999999999999994;-0.8660254037844387;1.0;1.1137134780612494;94.00055583726021;-36.35599703522971;4.758859354377234;5193.8335601942035
37;high.school;226;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;4;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;True;True;False;False;False;True;False;False;True;False;False;False;0.49999999999999994;-0.8660254037844387;1.0;1.1137134780612494;94.00055583726021;-36.35599703522971;4.758859354377234;5193.8335601942035
40;basic.6y;151;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;2;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;True;False;False;False;True;False;False;True;False;False;False;0.49999999999999994;-0.8660254037844387;1.0;1.1137134780612494;94.00055583726021;-36.35599703522971;4.758859354377234;5193.8335601942035
56;high.school;307;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;4;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;True;True;True;False;False;False;True;False;False;False;False;True;False;0.49999999999999994;-0.8660254037844387;1.0;1.1137134780612494;94.00055583726021;-36.35599703522971;4.758859354377234;5193.8335601942035
45;basic.9y;198;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;3;False;False;False;False;False;False;True;False;False;False;True;False;True;False;False;False;True;True;False;False;False;True;False;False;True;False;False;False;0.49999999999999994;-0.8660254037844387;1.0;1.1137134780612494;94.00055583726021;-36.35599703522971;4.758859354377234;5193.8335601942035
59;professional.course;139;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;5;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;True;False;False;False;True;False;False;False;False;True;False;0.49999999999999994;-0.8660254037844387;1.0;1.1137134780612494;94.00055583726021;-36.35599703522971;4.758859354377234;5193.8335601942035
41;university.degree;217;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;6;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;True;False;False;False;True;False;False;True;False;False;False;0.49999999999999994;-0.8660254037844387;1.0;1.1137134780612494;94.00055583726021;-36.35599703522971;4.758859354377234;5193.8335601942035
24;professional.course;380;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;5;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;True;True;False;False;False;True;False;False;False;False;False;False;0.49999999999999994;-0.8660254037844387;1.0;1.1137134780612494;94.00055583726021;-36.35599703522971;4.758859354377234;5193.8335601942035
25;high.school;50;1;999;0;1.1;93.994;-36.4;4.857;5191.0;0;0;4;False;False;False;False;False;False;True;False;False;False;False;True;False;False;True;False;True;True;False;False;False;True;False;False;False;False;False;False;0.49999999999999994;-0.8660254037844387;1.0;1.1137134780612494;94.00055583726021;-36.35599703522971;4.758859354377234;5193.8335601942035
